Patient_ID,Animal_Type,Breed,Age,Gender,Visit_Date,Disease,Treatment,Doctor,Treatment_Cost,Treatment_Days,Outcome,Follow_Up,Location
VET0001,Dog,Pug,8,Male,2025-01-21,Fever,Medication,Dr. Rahul,900,4,Recovered,No,Madurai
VET0002,Cow,Holstein Friesian,12,Female,2026-01-21,Skin Infection,Medication,Dr. Rahul,2700,7,Recovered,No,Chennai
VET0003,Dog,Golden Retriever,12,Female,2025-07-09,Digestive Issues,Medication,Dr. Arun,2100,8,Recovered,No,Coimbatore
VET0004,Cat,Indian Shorthair,2,Female,2026-08-24,Injury,Surgery,Dr. Meena,11900,14,Recovered,Yes,Coimbatore
VET0005,Cow,Sahiwal,15,Male,2025-07-25,Injury,Surgery,Dr. Priya,6600,8,Recovered,No,Chennai
VET0006,Dog,German Shepherd,2,Female,2025-09-27,Parasite Infection,Deworming,Dr. Rahul,1500,4,Recovered,No,Coimbatore
VET0007,Goat,Jamunapari,13,Male,2025-06-06,Vaccination,Vaccination,Dr. Arun,500,1,Recovered,No,Coimbatore
VET0008,Dog,Golden Retriever,8,Male,2026-02-23,Fever,Medication,Dr. Arun,1000,4,Recovered,No,Tiruppur
VET0009,Goat,Malabari,16,Male,2026-02-11,Digestive Issues,Medication,Dr. Karthik,2700,7,Improving,Yes,Chennai
VET0010,Dog,Indian Spitz,5,Female,2026-05-18,Parasite Infection,Deworming,Dr. Priya,1400,3,Recovered,No,Chennai
VET0011,Dog,Labrador,4,Female,2026-04-30,Digestive Issues,Medication,Dr. Rahul,2600,7,Recovered,No,Coimbatore
VET0012,Dog,Indian Spitz,10,Male,2026-07-28,Fracture,Surgery,Dr. Karthik,9600,26,Recovered,No,Coimbatore
VET0013,Dog,Labrador,1,Male,2026-01-12,Digestive Issues,Medication,Dr. Karthik,2500,8,Recovered,No,Coimbatore
VET0014,Cat,Persian,1,Male,2025-08-22,Injury,Surgery,Dr. Arun,4100,19,Recovered,No,Coimbatore
VET0015,Dog,German Shepherd,14,Male,2026-01-21,Vaccination,Vaccination,Dr. Arun,1600,1,Recovered,Yes,Tiruppur
VET0016,Dog,Pug,1,Male,2025-05-10,Digestive Issues,Medication,Dr. Meena,2200,6,Recovered,No,Coimbatore
VET0017,Dog,Labrador,8,Male,2025-07-17,Respiratory Infection,Medication,Dr. Meena,3700,11,Recovered,No,Chennai
VET0018,Cow,Gir,4,Male,2025-12-12,Dental Problem,Dental Care,Dr. Arun,3900,4,Recovered,Yes,Madurai
VET0019,Dog,German Shepherd,11,Female,2026-04-18,Parasite Infection,Deworming,Dr. Priya,800,2,Recovered,No,Tiruppur
VET0020,Cat,Persian,14,Female,2026-03-29,Fever,Medication,Dr. Karthik,1800,4,Recovered,No,Madurai
VET0021,Rabbit,Angora,1,Female,2026-08-10,Digestive Issues,Medication,Dr. Meena,2800,6,Critical,Yes,Chennai
VET0022,Dog,Labrador,13,Female,2025-12-04,Ear Infection,Medication,Dr. Meena,2900,9,Recovered,No,Madurai
VET0023,Dog,Pug,8,Female,2026-01-27,Fever,Medication,Dr. Meena,1900,4,Recovered,No,Chennai
VET0024,Cat,Indian Shorthair,8,Male,2025-01-27,Injury,Surgery,Dr. Arun,3700,9,Recovered,No,Coimbatore
VET0025,Cow,Gir,17,Female,2025-01-17,Dental Problem,Dental Care,Dr. Rahul,3200,7,Follow-up Required,Yes,Tiruppur
VET0026,Cow,Jersey,17,Female,2025-06-30,Vaccination,Vaccination,Dr. Rahul,1100,1,Recovered,Yes,Coimbatore
VET0027,Goat,Malabari,18,Male,2026-07-20,Injury,Surgery,Dr. Priya,4000,7,Recovered,Yes,Coimbatore
VET0028,Dog,German Shepherd,1,Male,2025-09-03,Respiratory Infection,Medication,Dr. Karthik,3300,6,Improving,Yes,Coimbatore
VET0029,Cat,Bengal,9,Female,2025-01-20,Injury,Surgery,Dr. Meena,5800,12,Improving,Yes,Tiruppur
VET0030,Dog,German Shepherd,7,Male,2025-02-20,Skin Infection,Medication,Dr. Priya,3100,5,Recovered,No,Tiruppur
VET0031,Dog,German Shepherd,6,Male,2026-03-20,Parasite Infection,Deworming,Dr. Meena,1300,1,Improving,Yes,Coimbatore
